Business Name,Phone,Name,Address,City,Zip,State,County,Sales Volume,SIC CODE,SIC NAME,NAICS CODE,Min Years In Business,Square Footage,Web Address
LIBERTY TAX SVC,4024039137,,810 TARA PLZ,PAPILLION,68046-2044,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",LIBERTYTAX.COM
"MONASTERO, JULIE",4023978811,JULIE MONASTERO,2407 S 130TH CIR,OMAHA,68144-2528,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"2,500 TO 9,999",
AFFORDABLE TAX  BOOKKEEPING,4025027855,JUANITA WILSON,2422 LAKE ST,OMAHA,68111-3831,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,,
D  B TAX SVC,7123661964,BONNIE BUSWELL,3504 TWIN CITY DR,COUNCIL BLUFFS,51501-7966,IA,POTTAWATTAMIE,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
THORN GROUP INC,4029531856,DOCY THORN,2109 VINTON ST #32,OMAHA,68108-1861,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,,
MUNOZ TAX SVC,4029325300,,5601 S 36TH ST,OMAHA,68107-3263,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
FINN SOMER  ASSOC,4029550415,VERN SOMER,10730 PACIFIC ST #231,OMAHA,68114-4761,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
PADGETT BUSINESS SVC,4029913399,,3348 ERNST ST,OMAHA,68112-2601,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
LIBERTY TAX SVC,4028846943,ROBERT MEJIAS,2734 S 123RD CT #165,OMAHA,68144-3950,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",LIBERTYTAX.COM
MANUEL INCOME TAX SVC,4024556077,SHARON KALVELAGE,2505 N 24TH ST #411,OMAHA,68110-2279,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,,
LIBERTY TAX SVC,4025583379,TIM STEFFES,644 N SADDLE CREEK RD,OMAHA,68132-2500,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",LIBERTYTAX.COM
TAX PROS OF NEBRASKA,4029914900,RICHARD ARNOLD,14891 POLK ST,OMAHA,68137-3966,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
AC TAX  ACCOUNTING,4022912335,CHERYL COULSON,1308 GALVIN RD S,BELLEVUE,68005-3064,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
48TH ST INCOME TAX SVC LLC,4025024481,CLEMENTE VELASCO,3811 Q ST,OMAHA,68107-2458,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,,
MONTANEZ TAX SVC,4027336377,JOSE MONTANEZ,4308 1/2 L ST,OMAHA,68107-1074,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
SKILL-TAX LLC,4024531755,DAVID MC CASKILL,5351 N 30TH ST,OMAHA,68111-1609,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",SKILL-TAX.COM
LIBERTY TAX SVC,4028844382,YANNINA STEFFES,3302 Q ST #5,OMAHA,68107-2519,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"2,500 TO 9,999",LIBERTYTAX.COM
LIBERTY TAX SVC,7123522505,CHAD BROWN,2125 W BROADWAY,COUNCIL BLUFFS,51501-3717,IA,POTTAWATTAMIE,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",LIBERTYTAX.COM
"EKSTROM, RICHARD RD",4023431414,RICHARD RD EKSTROM,11602 W CENTER RD,OMAHA,68144-4440,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
TAX TIME,4027332993,GEORGE PLOFKIN,4601 S 50TH ST #307,OMAHA,68117-1355,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",EXPRESSTAXSERVICE.COM
JACKSON HEWITT TAX SVC,4023931040,DIANE LAMB,604 S 72ND ST,OMAHA,68114-4612,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",JACKSONHEWITT.COM
CRUISE  ASSOC,4025586922,LAURA ANDERSON,2808 S 80TH AVE #140,OMAHA,68124-3253,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
AFFORDABLE TAX,4024534077,JUANITA WILSON,2505 N 24TH ST #105,OMAHA,68110-2279,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
MMM TAX SVC,4025710610,MORRIS MCKINNEY,7206 N 69TH CIR,OMAHA,68152-2146,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
METRO BUSINESS  TAX SVC,4023303655,,254 N 114TH ST,OMAHA,68154-2515,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
ACTION TAX  BOOKKEEPING,4023970761,AARON JOHNSON JR,2835 N 81ST ST,OMAHA,68134-6411,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",ACTIONTAX.BIZ
HR BLOCK,4023971040,,11808 MIRACLE HILLS DR,OMAHA,68154-4403,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",HRBLOCK.COM
A PLUS TAX PROS,7122565400,VERN SNIPES,1601 AVENUE D #B,COUNCIL BLUFFS,51501-2510,IA,POTTAWATTAMIE,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
BRENDA INCOME TAX,4027340851,BRENDA BARRAGAN,4532 S 33RD ST,OMAHA,68107-1423,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
TALLMAN-SCHEEL TAX SVC,7123237563,ROBERT FRENCH,106 E BROADWAY,COUNCIL BLUFFS,51503-4492,IA,POTTAWATTAMIE,"LESS THAN $500,000",7291-00,TAX RETURN PREPARATION SERVICES,,,,
SANDERS TAX SVC,7122568290,,1417 W BROADWAY,COUNCIL BLUFFS,51501-3922,IA,POTTAWATTAMIE,"LESS THAN $500,000",7291-00,TAX RETURN PREPARATION SERVICES,,,,
HANSEN/MEYER,4023331323,TERI MEYER,14625 INDUSTRIAL RD,OMAHA,68144-3229,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
FRESNILLO TAX SVC,4029327622,,1702 VINTON ST,OMAHA,68108-1480,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
HEISE BOOKKEEPING  TAX SVC,4023976307,BILL HEISE,7423 WRIGHT ST,OMAHA,68124-3432,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
SCHULZ FINANCIAL SVC,4023974145,LES SCHULZ,8031 W CENTER RD #325,OMAHA,68124-3149,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
JACKSON HEWITT TAX SVC,4025611040,ROBERT RENNART,4801 DODGE ST,OMAHA,68132-3110,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",JACKSONHEWITT.COM
BLOCK PLANT,4027332073,,4508 S 28TH ST,OMAHA,68107-1539,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
CARUSO TAX SVC,4028911319,,16217 WOODLAND DR,OMAHA,68136-4000,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
INTEGRITY TAX  BUSINESS SVC,4023331007,STEVEN AHLF,10665 BEDFORD AVE,OMAHA,68134-3683,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
FUHRMAN SMOLSKY  FUREY PC,4028955050,ANNE FUHRMAN,9802 NICHOLAS ST #395,OMAHA,68114-2168,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",CPAOMAHA.COM
HR BLOCK,4028618943,ROBERT ALDERSON,4959 S 155TH ST,OMAHA,68137-5007,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",HRBLOCK.COM
HR BLOCK,4022928882,GRETCHEN DIETZEL,1309 HARLAN DR #107,BELLEVUE,68005-6604,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",HRBLOCK.COM
HEARTLAND TAX  ACCOUNTING,4027580273,MORRIS MC KINNEY,11912 ELM ST #106,OMAHA,68144-4386,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
ASSOCIATED TAX CONSULTANTS INC,4025511755,BETTY WYLES,4800 DODGE ST,OMAHA,68132-3111,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",ASSOCIATEDTAXOMAHA.COM
PRIMMER BUSINESS SVC,7123220880,DOUGLAS D PRIMMER,223 S MAIN ST,COUNCIL BLUFFS,51503-6504,IA,POTTAWATTAMIE,"LESS THAN $500,000",7291-00,TAX RETURN PREPARATION SERVICES,,,,
TAX PLUS,4025044011,TIM STEFFES,5002 CENTER ST #3,OMAHA,68106-3100,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",TAXPLUS.NET
CASEY'S TAX SVC,4027316715,ROD CASEY,4104 S 42ND ST,OMAHA,68107-1096,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
BERGER O'TOOLE CPAS LLC,4025511919,ROBERT BERGER,1301 S 75TH ST #200,OMAHA,68124-1602,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",BERGERANDOTOOLE.COM
INDEPENDENCE TAX SVC,4027343340,JESUS VILLEZCAS,4536 S 24TH ST,OMAHA,68107-1816,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
HEMPEL ACCOUNTING SVC INC,4023342724,STEVE HEMPEL,16236 BANCROFT CIR,OMAHA,68130-1845,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
HR BLOCK,4027310900,,1101 FORT CROOK RD N,BELLEVUE,68005-4216,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,,
HR BLOCK,4029262794,KRISTI ST AUBIN,8424 W CENTER RD #101,OMAHA,68124-3138,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",HRBLOCK.COM
JACKSON HEWITT TAX SVC,4025721040,,6304 N 99TH ST,OMAHA,68134-1528,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",JACKSONHEWITT.COM
WISE TAX SOLUTIONS,4023912151,,3921 AMES AVE,OMAHA,68111-2238,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
LIBERTY TAX SVC,4026143222,,2212 AVERY RD E,BELLEVUE,68005-4643,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",LIBERTYTAX.COM
JACKSON HEWITT TAX SVC,4029322767,,5015 S 118TH ST,OMAHA,68137-2210,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",JACKSONHEWITT.COM
HUSKER TAX SVC,4025025252,,2430 CORNHUSKER RD,BELLEVUE,68123-2412,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
BULLDAWG TAX  ACCOUNTING,4028982672,,2221 MAIN ST,BELLEVUE,68005-5239,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,,
"DINKLAGE, LUCAS",7123228404,LUCAS DINKLAGE,500 WILLOW AVE,COUNCIL BLUFFS,51503-0827,IA,POTTAWATTAMIE,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
ENTERPRISE TAX SVC,4029050100,,3170 LEAVENWORTH ST,OMAHA,68105-2071,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
JACKSON HEWITT TAX SVC,4027317900,,3323 L ST,OMAHA,68107-2500,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",JACKSONHEWITT.COM
LARSEN  ASSOC,4028911040,JAMES LARSEN,10410 S 144TH ST #3,OMAHA,68138-3935,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
"KIRK, MICHAEL",4026978829,MICHAEL KIRK,3116 N 100TH PLZ #12,OMAHA,68134-5475,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
DULIK ACCOUNTING,4023914260,VIRGINIA DULIK,10730 PACIFIC ST #16,OMAHA,68114-4761,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
ANNIE'S TAX SVC,4024538124,ANNIE GRANT,4335 N 65TH ST,OMAHA,68104-2537,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",ANNIESTAXSERVICE.COM
JACKSON HEWITT TAX SVC,4029331230,,8413 W CENTER RD,OMAHA,68124-3132,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",JACKSONHEWITT.COM
"MEYER, TERI",4023330707,TERI MEYER,14625 INDUSTRIAL RD,OMAHA,68144-3229,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
MIDWEST ACCOUNTING  TAX SVC,4023342888,JOHN GROSS,3018 S 87TH ST,OMAHA,68124-3043,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"10,000 TO 39,999",
BENSON TAX SVC,4024936806,CURT BENSON,5602 N 163RD ST,OMAHA,68116-3746,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
HR BLOCK,4023304226,,3001 S 144TH ST,OMAHA,68144-5221,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",HRBLOCK.COM
NZ TAX SVC,4025024595,GAERIELLA CARDENAS,6902 S 36TH ST,BELLEVUE,68147-1243,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
DANA F COLE  CO LLP,4028271450,,2809 S 160TH ST #110,OMAHA,68130-1755,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",DANACOLE.COM
TRUCKERS PROFESSIONAL SVC,4028911040,,10410 S 144TH ST #3,OMAHA,68138-3935,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
HR BLOCK,4022923077,ROSEBETH GIOVANIELLO,10503 S 15TH ST #105,BELLEVUE,68123-4026,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",HRBLOCK.COM
J  K TAX SVC,4026147773,,3737 DODGE ST,OMAHA,68131-3180,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
JACKSON HEWITT TAX SVC,4023419277,,1500 N 24TH ST #102,OMAHA,68110-2374,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",JACKSONHEWITT.COM
TAX CONSULTING INC,4024081098,DAN PALMER,11912 ELM ST #112,OMAHA,68144-4386,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
JACKSON HEWITT TAX SVC,4022931040,,10504 S 15TH ST,BELLEVUE,68123-4084,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",JACKSONHEWITT.COM
JACKSON HEWITT TAX SVC,4027581040,,18201 WRIGHT ST,OMAHA,68130-2875,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",JACKSONHEWITT.COM
TONY D BUDA PC,4023309927,TONY BUDA,2419 S 156TH CIR,OMAHA,68130-2512,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
LAKMA INCOME TAX SVC,4029320427,,2317 M ST,OMAHA,68107-2829,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
JACKSON HEWITT TAX SVC,4027318445,ALEJANDRO MUNOZ,6311 S 36TH ST,OMAHA,68107-3831,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",JACKSONHEWITT.COM
